id,consis.fam,outcome.fam,tb.fb,obj.pair,video.1,video.2,video.3,video.4,order,consis,outcome,video.5,video.6,video.7,video.8,video.9,video.10,video.11,video.12
17,IKKI,LRRL,ftfttftf,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,acacacac,KIIKKIIK,RRLLLRRL,FB_ball_rattle_R,TB_bottle_R,FB_magnifier_tröte_L,TB_map_L,TB_pen_whistle_L,FB_necklace_R,TB_compass_bell_R,FB_sword_L
18,IKKI,RRLL,ftfttftf,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,acacacac,KIIKKIIK,LLRRRLLR,FB_ball_rattle_L,TB_map_L,FB_magnifier_tröte_R,TB_necklace_R,TB_pen_whistle_R,FB_sword_L,TB_compass_bell_L,FB_bottle_R
19,IKKI,RLLR,ftfttftf,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,acacacac,KIIKKIIK,LRRRLLRL,FB_ball_rattle_L,TB_necklace_R,FB_magnifier_tröte_R,TB_sword_R,TB_pen_whistle_L,FB_bottle_L,TB_compass_bell_R,FB_map_L
20,IKKI,LLRR,ftfttftf,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,acacacac,KIIKKIIK,RLLLRRRL,FB_ball_rattle_R,TB_sword_L,FB_magnifier_tröte_L,TB_bottle_L,TB_pen_whistle_R,FB_map_R,TB_compass_bell_R,FB_necklace_L
21,KIIK,LRRL,ftfttftf,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,acacacac,KIIKKIIK,RRLRRLRL,FB_compass_bell_R,TB_bottle_R,FB_pen_whistle_L,TB_map_R,TB_magnifier_tröte_R,FB_necklace_L,TB_ball_rattle_R,FB_sword_L
22,KIIK,RRLL,ftfttftf,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,acacacac,KIIKKIIK,LLRLLRLR,FB_compass_bell_L,TB_map_L,FB_pen_whistle_R,TB_necklace_L,TB_magnifier_tröte_L,FB_sword_R,TB_ball_rattle_L,FB_bottle_R
23,KIIK,RLLR,ftfttftf,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,acacacac,KIIKKIIK,LRRLRRLR,FB_compass_bell_L,TB_necklace_R,FB_pen_whistle_R,TB_sword_L,TB_magnifier_tröte_R,FB_bottle_R,TB_ball_rattle_L,FB_map_R
24,KIIK,LLRR,ftfttftf,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,acacacac,KIIKKIIK,RLLRLLLR,FB_compass_bell_R,TB_sword_L,FB_pen_whistle_L,TB_bottle_R,TB_magnifier_tröte_L,FB_map_L,TB_ball_rattle_L,FB_necklace_R
25,IKKI,LRRL,ftfttftf,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,acacacac,IKKIIKKI,RRLLLRRL,FB_pen_whistle_R,TB_bottle_R,FB_ball_rattle_L,TB_map_L,TB_compass_bell_L,FB_necklace_R,TB_magnifier_tröte_R,FB_sword_L
26,IKKI,RRLL,ftfttftf,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,acacacac,IKKIIKKI,LLRRRLLR,FB_pen_whistle_L,TB_map_L,FB_ball_rattle_R,TB_necklace_R,TB_compass_bell_R,FB_sword_L,TB_magnifier_tröte_L,FB_bottle_R
27,IKKI,RLLR,ftfttftf,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,acacacac,IKKIIKKI,LRRRLLRL,FB_pen_whistle_L,TB_necklace_R,FB_ball_rattle_R,TB_sword_R,TB_compass_bell_L,FB_bottle_L,TB_magnifier_tröte_R,FB_map_L
28,IKKI,LLRR,ftfttftf,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,acacacac,IKKIIKKI,RLLLRRRL,FB_pen_whistle_R,TB_sword_L,FB_ball_rattle_L,TB_bottle_L,TB_compass_bell_R,FB_map_R,TB_magnifier_tröte_R,FB_necklace_L
29,KIIK,LRRL,ftfttftf,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,acacacac,IKKIIKKI,RRLRRLRL,FB_magnifier_tröte_R,TB_bottle_R,FB_compass_bell_L,TB_map_R,TB_ball_rattle_R,FB_necklace_L,TB_pen_whistle_R,FB_sword_L
30,KIIK,RRLL,ftfttftf,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,acacacac,IKKIIKKI,LLRLLRLR,FB_magnifier_tröte_L,TB_map_L,FB_compass_bell_R,TB_necklace_L,TB_ball_rattle_L,FB_sword_R,TB_pen_whistle_L,FB_bottle_R
