video_1,video_2,video_3,video_4,video_5,video_6,video_7,video_8,video_9,video_10,video_11,video_12,consisfam,outcomefam,order,consis,outcome,tb_fb_order,group
'videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/FB_map_L.mp4','videos/TB_compass_bell_L.mp4','videos/FB_necklace_R.mp4','videos/TB_pen_whistle_L.mp4','videos/TB_sword_L.mp4','videos/FB_magnifier_tröte_R.mp4','videos/TB_bottle_L.mp4','videos/FB_ball_rattle_R.mp4',KIIK,RRLL,cacacaca,KIIKKIIK,LLRLLRLR,ftfttftf,54
'videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/FB_necklace_L.mp4','videos/TB_compass_bell_R.mp4','videos/FB_sword_R.mp4','videos/TB_pen_whistle_L.mp4','videos/TB_bottle_R.mp4','videos/FB_magnifier_tröte_R.mp4','videos/TB_map_L.mp4','videos/FB_ball_rattle_R.mp4',KIIK,RLLR,cacacaca,KIIKKIIK,LRRLRRLR,ftfttftf,55
'videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/FB_sword_R.mp4','videos/TB_compass_bell_L.mp4','videos/FB_bottle_L.mp4','videos/TB_pen_whistle_R.mp4','videos/TB_map_L.mp4','videos/FB_magnifier_tröte_L.mp4','videos/TB_necklace_L.mp4','videos/FB_ball_rattle_R.mp4',KIIK,LLRR,cacacaca,KIIKKIIK,RLLRLLLR,ftfttftf,56
'videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/FB_bottle_R.mp4','videos/TB_pen_whistle_R.mp4','videos/FB_map_L.mp4','videos/TB_ball_rattle_L.mp4','videos/TB_necklace_L.mp4','videos/FB_compass_bell_R.mp4','videos/TB_sword_R.mp4','videos/FB_magnifier_tröte_L.mp4',IKKI,LRRL,cacacaca,IKKIIKKI,RRLLLRRL,ftfttftf,57
'videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/FB_map_L.mp4','videos/TB_pen_whistle_L.mp4','videos/FB_necklace_R.mp4','videos/TB_ball_rattle_R.mp4','videos/TB_sword_R.mp4','videos/FB_compass_bell_L.mp4','videos/TB_bottle_L.mp4','videos/FB_magnifier_tröte_R.mp4',IKKI,RRLL,cacacaca,IKKIIKKI,LLRRRLLR,ftfttftf,58
'videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/FB_necklace_L.mp4','videos/TB_pen_whistle_R.mp4','videos/FB_sword_R.mp4','videos/TB_ball_rattle_R.mp4','videos/TB_bottle_L.mp4','videos/FB_compass_bell_L.mp4','videos/TB_map_R.mp4','videos/FB_magnifier_tröte_L.mp4',IKKI,RLLR,cacacaca,IKKIIKKI,LRRRLLRL,ftfttftf,59
'videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/FB_sword_R.mp4','videos/TB_pen_whistle_L.mp4','videos/FB_bottle_L.mp4','videos/TB_ball_rattle_L.mp4','videos/TB_map_R.mp4','videos/FB_compass_bell_R.mp4','videos/TB_necklace_R.mp4','videos/FB_magnifier_tröte_L.mp4',IKKI,LLRR,cacacaca,IKKIIKKI,RLLLRRRL,ftfttftf,60
'videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/FB_bottle_R.mp4','videos/TB_magnifier_tröte_R.mp4','videos/FB_map_L.mp4','videos/TB_compass_bell_R.mp4','videos/TB_necklace_R.mp4','videos/FB_ball_rattle_L.mp4','videos/TB_sword_R.mp4','videos/FB_pen_whistle_L.mp4',KIIK,LRRL,cacacaca,IKKIIKKI,RRLRRLRL,ftfttftf,61
'videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/FB_map_L.mp4','videos/TB_magnifier_tröte_L.mp4','videos/FB_necklace_R.mp4','videos/TB_compass_bell_L.mp4','videos/TB_sword_L.mp4','videos/FB_ball_rattle_R.mp4','videos/TB_bottle_L.mp4','videos/FB_pen_whistle_R.mp4',KIIK,RRLL,cacacaca,IKKIIKKI,LLRLLRLR,ftfttftf,62
'videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/FB_necklace_L.mp4','videos/TB_magnifier_tröte_R.mp4','videos/FB_sword_R.mp4','videos/TB_compass_bell_L.mp4','videos/TB_bottle_R.mp4','videos/FB_ball_rattle_R.mp4','videos/TB_map_L.mp4','videos/FB_pen_whistle_R.mp4',KIIK,RLLR,cacacaca,IKKIIKKI,LRRLRRLR,ftfttftf,63
'videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/FB_sword_R.mp4','videos/TB_magnifier_tröte_L.mp4','videos/FB_bottle_L.mp4','videos/TB_compass_bell_R.mp4','videos/TB_map_L.mp4','videos/FB_ball_rattle_L.mp4','videos/TB_necklace_L.mp4','videos/FB_pen_whistle_R.mp4',KIIK,LLRR,cacacaca,IKKIIKKI,RLLRLLLR,ftfttftf,64
