id;age_years;age_years_full;sex;cb;experimenter;order;obj.pair_1_dual_identity;obj.pair_2_dual_identity;obj.pair_1_control;obj.pair_2_control;obj.pair_1_change_of_location;obj.pair_2_change_of_location;consis_1_dual_identity;consis_2_dual_identity;consis_1_control;consis_2_control;consis_1_change_of_location;consis_2_change_of_location;res_c_1_dual_identity;res_c_2_dual_identity;res_c_1_control;res_c_2_control;res_c_1_change_of_location;res_c_2_change_of_location;res_t_1_dual_identity;res_t_2_dual_identity;res_t_1_control;res_t_2_control;res_t_1_change_of_location;res_t_2_change_of_location;c_correct_1_dual_identity;c_correct_2_dual_identity;c_correct_1_control;c_correct_2_control;c_correct_1_change_of_location;c_correct_2_change_of_location;t_correct_1_dual_identity;t_correct_2_dual_identity;t_correct_1_control;t_correct_2_control;t_correct_1_change_of_location;t_correct_2_change_of_location
38;6,80821917808219;6;f;CB_17;Joana;nca nca;CX;CX;CX;CX;0M;0M;C;I;I;C;C;I;left;left;left;left;right;right;self;wind;wind;self;self;wind;1;1;1;1;1;1;1;1;1;1;1;1
39;6,84383561643836;6;m;CB_18;Joana;nca nca;XC;XC;XC;XC;M0;M0;C;I;I;C;C;I;right;right;right;right;left;left;self;wind;wind;self;self;wind;1;1;1;1;0;0;1;1;1;1;1;1
41;5,98356164383562;5;m;CB_20;Joana;nca nca;CX;CX;XC;XC;0M;0M;C;I;I;C;C;I;left;left;right;right;right;right;self;wind;wind;self;self;wind;1;1;1;1;1;1;1;1;1;1;1;1
42;6,16712328767123;6;m;CB_21;Joana;nca nca;CX;XC;CX;XC;0M;M0;C;I;I;C;C;I;left;right;right;right;left;left;wind;wind;wind;self;wind;wind;1;1;0;1;0;0;0;1;1;1;0;1
43;5,10136986301370;5;m;CB_22;Isa;nca nca;XC;CX;XC;CX;M0;0M;C;I;I;C;C;I;left;right;right;left;right;left;wind;self;wind;wind;wind;self;0;0;1;1;1;0;0;0;1;0;0;0
44;5,07671232876712;5;m;CB_11;Joana;acn acn;XC;XC;XC;XC;M0;M0;I;C;C;I;I;C;left;NA;right;right;NA;NA;self;NA;self;wind;NA;NA;0;NA;1;1;NA;NA;0;NA;1;1;NA;NA
46;7,85753424657534;7;m;CB_13;Joana;acn acn;CX;XC;XC;CX;0M;M0;I;C;C;I;I;C;left;right;right;left;right;left;wind;self;self;wind;wind;self;1;1;1;1;1;0;1;1;1;1;1;1
47;7,08219178082192;7;f;CB_14;Joana;acn acn;XC;CX;CX;XC;M0;0M;I;C;C;I;I;C;right;left;left;right;left;right;wind;self;self;wind;wind;self;1;1;1;1;0;1;1;1;1;1;1;1
48;6,31232876712329;6;m;CB_23;Isa;nca nca;XC;CX;CX;XC;M0;0M;C;I;I;C;C;I;right;left;left;right;left;right;self;wind;wind;self;wind;wind;1;1;1;1;0;1;1;1;1;1;0;1
49;5,78630136986301;5;m;CB_24;Isa;nca nca;CX;XC;XC;CX;0M;M0;C;I;I;C;C;I;right;left;right;left;right;left;wind;self;wind;self;wind;self;0;0;1;1;1;0;0;0;1;1;0;0
52;7,80000000000000;7;f;CB_27;Isa;nca nca;CX;CX;XC;XC;0M;0M;I;C;C;I;I;C;left;left;NA;right;right;right;wind;self;self;wind;wind;self;1;1;NA;1;1;1;1;1;1;1;1;1
53;6,93424657534247;6;f;CB_28;Isa;nca nca;XC;XC;CX;CX;M0;M0;I;C;C;I;I;C;NA;NA;left;left;left;left;NA;NA;self;wind;self;self;NA;NA;1;1;0;0;NA;NA;1;1;0;1
56;5,43835616438356;5;m;CB_31;Isa;nca nca;CX;XC;XC;CX;0M;M0;I;C;C;I;I;C;left;right;right;left;right;left;wind;self;wind;wind;wind;wind;1;1;1;1;1;0;1;1;0;1;1;0
57;4,94246575342466;4;f;CB_32;Isa;nca nca;XC;CX;CX;XC;M0;0M;I;C;C;I;I;C;NA;NA;left;right;left;left;NA;NA;self;wind;self;wind;NA;NA;1;1;0;0;NA;NA;1;1;0;0
58;6,82191780821918;6;m;CB_15;Isa;acn acn;XC;CX;XC;CX;M0;0M;I;C;C;I;I;C;right;left;right;left;right;right;wind;self;self;self;wind;wind;1;1;1;1;1;1;1;1;1;0;1;0
59;6,67671232876712;6;m;CB_16;Joana;acn acn;CX;XC;CX;XC;0M;M0;I;C;C;I;I;C;left;right;right;left;left;right;wind;self;wind;self;self;wind;1;1;0;0;0;1;1;1;0;0;0;0
60;7,90410958904110;7;f;CB_01;Joana;acn acn;XC;XC;CX;CX;M0;M0;C;I;I;C;C;I;right;right;left;left;left;left;self;wind;wind;self;self;wind;1;1;1;1;0;0;1;1;1;1;1;1
61;5,47397260273973;5;f;CB_02;Joana;acn acn;CX;CX;XC;XC;0M;0M;C;I;I;C;C;I;NA;NA;right;right;left;left;NA;NA;wind;self;wind;self;NA;NA;1;1;0;0;NA;NA;1;1;0;0
62;5,74246575342466;5;m;CB_16;Isa;acn acn;CX;XC;CX;XC;0M;M0;I;C;C;I;I;C;left;right;left;right;right;left;wind;wind;self;wind;wind;wind;1;1;1;1;1;0;1;0;1;1;1;0
63;6,01643835616438;6;m;CB_32;Isa;nca nca;XC;CX;CX;XC;M0;0M;I;C;C;I;I;C;right;left;left;right;left;right;wind;self;self;wind;wind;self;1;1;1;1;0;1;1;1;1;1;1;1
64;7,01917808219178;7;m;CB_04;Isa;acn acn;XC;XC;XC;XC;M0;M0;C;I;I;C;C;I;right;right;left;right;left;left;self;self;self;self;self;self;1;1;0;1;0;0;1;0;0;1;1;0
65;5,01643835616438;5;m;CB_07;Isa;acn acn;CX;XC;CX;XC;0M;M0;C;I;I;C;C;I;NA;left;left;right;left;right;NA;self;wind;self;wind;self;NA;0;1;1;0;1;NA;0;1;1;0;0
67;4,51232876712329;4;f;CB_19;Joana;nca nca;XC;XC;CX;CX;M0;M0;C;I;I;C;C;I;right;right;left;left;right;right;self;wind;wind;self;wind;self;1;1;1;1;1;1;1;1;1;1;0;0
68;5,35616438356164;5;m;CB_30;Joana;nca nca;CX;XC;CX;XC;0M;M0;I;C;C;I;I;C;left;left;left;right;right;left;wind;wind;self;wind;self;self;1;0;1;1;1;0;1;0;1;1;0;1
