id;age_years;cb;objects_1;objects_2;objects_3;objects_4;c_i_1;c_i_2;c_i_3;c_i_4;res_c_1;res_c_2;res_c_3;res_c_4;res_t_1;res_t_2;res_t_3;res_t_4;c_correct_1;c_correct_2;c_correct_3;c_correct_4;t_correct_1;t_correct_2;t_correct_3;t_correct_4;fam_dropout;fam_count
61;5,47397260273973;CB_02;CX;CD;CX;CD;I;C;C;I;left;left;left;right;wind;self;self;wind;1;0;1;1;1;1;1;1;no;7
62;5,74246575342466;CB_16;CX;CD;CX;CD;C;I;I;C;left;right;left;right;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
63;6,01643835616438;CB_32;CX;CD;CX;CD;C;I;I;C;left;right;left;right;self;wind;wind;self;1;1;1;1;1;1;1;1;no;8
64;7,01917808219178;CB_04;XC;DC;XC;DC;I;C;C;I;right;left;right;left;self;self;self;wind;1;1;1;1;0;1;1;1;no;7
65;5,01643835616438;CB_07;DC;XC;DC;XC;C;I;I;C;left;right;left;right;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
67;4,51232876712329;CB_19;CD;CX;CD;CX;I;C;C;I;right;left;right;left;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
68;5,35616438356164;CB_30;XC;DC;XC;DC;C;I;I;C;right;left;right;right;wind;self;wind;self;1;1;1;0;0;0;1;1;no;5
69;5,35616438356164;CB_12;XC;DC;XC;DC;I;C;C;I;right;left;right;right;self;self;self;wind;1;1;1;0;0;1;1;1;no;6
70;6,52602739726027;CB_25;DC;XC;DC;XC;I;C;C;I;left;right;left;right;wind;wind;self;wind;1;1;1;1;1;0;1;1;no;7
71;4,39726027397260;CB_26;CX;CD;CX;CD;I;C;C;I;left;right;left;right;wind;wind;self;wind;1;1;1;1;1;0;1;1;no;7
74;4,32602739726027;CB_31;DC;XC;DC;XC;C;I;I;C;left;right;left;right;self;wind;wind;self;1;1;1;1;1;1;1;1;no;8
75;4,03013698630137;CB_27;CD;CX;CD;CX;I;C;C;I;right;NA;right;left;wind;wind;self;wind;1;NA;1;1;1;0;1;1;no;6
76;6,15890410958904;CB_28;XC;DC;XC;DC;I;C;C;I;right;left;right;left;wind;wind;self;wind;1;1;1;1;1;0;1;1;no;7
77;7,71780821917808;CB_24;CX;CD;CX;CD;C;I;I;C;left;right;left;right;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
78;6,78356164383562;CB_23;DC;XC;DC;XC;C;I;I;C;left;right;left;right;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
79;5,72054794520548;CB_22;XC;DC;XC;DC;C;I;I;C;left;left;right;left;wind;wind;wind;self;0;1;1;1;0;1;1;1;no;6
80;4,05753424657534;CB_21;CD;CX;CD;CX;C;I;I;C;right;left;right;left;wind;self;wind;self;1;1;1;1;0;0;1;1;no;6
81;4,33424657534247;CB_20;XC;DC;XC;DC;I;C;C;I;right;left;right;left;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
82;7,67671232876712;CB_18;CX;CD;CX;CD;I;C;C;I;left;right;left;right;wind;wind;self;wind;1;1;1;1;1;0;1;1;no;7
84;4,23835616438356;CB_15;DC;XC;DC;XC;C;I;I;C;left;right;left;right;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
85;7,47397260273973;CB_14;XC;DC;XC;DC;C;I;I;C;right;left;right;left;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
87;4,62739726027397;CB_11;CD;CX;CD;CX;I;C;C;I;right;left;right;left;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
88;6,60821917808219;CB_09;DC;XC;DC;XC;I;C;C;I;left;right;left;right;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
89;4,15616438356164;CB_08;CX;CD;CX;CD;C;I;I;C;right;left;left;right;wind;wind;wind;self;0;0;1;1;0;1;1;1;no;5
90;5,28493150684931;CB_06;XC;DC;XC;DC;C;I;I;C;right;left;right;left;wind;self;wind;self;1;1;1;1;0;0;1;1;no;6
91;7,49863013698630;CB_05;CD;CX;CD;CX;C;I;I;C;right;left;right;left;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
92;4,70684931506849;CB_03;CD;CX;CD;CX;I;C;C;I;right;left;right;left;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
93;6,66849315068493;CB_16;CX;CD;CX;CD;C;I;I;C;left;right;left;right;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
94;6,79726027397260;CB_10;CX;CD;CX;CD;I;C;C;I;left;right;left;right;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
95;6,21369863013699;CB_30;XC;DC;XC;DC;C;I;I;C;right;left;right;left;self;wind;wind;self;1;1;1;1;1;1;1;1;no;8
96;7,95616438356164;CB_12;XC;DC;XC;DC;I;C;C;I;right;left;right;left;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
97;7,34520547945205;CB_29;CD;CX;CD;CX;C;I;I;C;right;left;right;left;self;wind;wind;self;1;1;1;1;1;1;1;1;no;8
100;6,64383561643836;CB_01;DC;XC;DC;XC;I;C;C;I;left;right;left;right;wind;wind;wind;wind;1;1;1;1;1;0;0;1;yes;6
102;6,09589041095890;CB_04;XC;DC;XC;DC;I;C;C;I;right;left;right;right;wind;self;self;self;1;1;1;0;1;1;1;0;yes;6
104;6,43013698630137;CB_06;XC;DC;XC;DC;C;I;I;C;right;left;right;left;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
105;4,96164383561644;CB_06;DC;XC;DC;XC;C;I;I;C;NA;right;left;right;NA;wind;wind;self;NA;1;1;1;NA;1;1;1;no;6
106;6,40821917808219;CB_08;CX;CD;CX;CD;C;I;I;C;left;left;left;right;wind;wind;wind;self;1;0;1;1;0;1;1;1;no;6
107;7,88493150684932;CB_09;DC;XC;DC;XC;I;C;C;I;left;right;left;right;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
108;5,50410958904110;CB_11;CD;CX;CD;CX;I;C;C;I;right;left;right;left;self;self;self;wind;1;1;1;1;0;1;1;1;no;7
109;4,63287671232877;CB_14;XC;DC;XC;DC;C;I;I;C;right;left;right;left;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
112;5,36712328767123;CB_18;CX;CD;CX;CD;I;C;C;I;left;right;left;right;wind;wind;self;wind;1;1;1;1;1;0;1;1;no;7
114;4,54520547945206;CB_20;XC;DC;XC;DC;I;C;C;I;right;left;right;left;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
115;4,94246575342466;CB_21;CD;CX;CD;CX;C;I;I;C;right;left;right;left;wind;self;wind;self;1;1;1;1;0;0;1;1;no;6
117;7,55616438356164;CB_22;XC;DC;XC;DC;C;I;I;C;right;left;right;left;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
119;5,43013698630137;CB_24;CX;CD;CX;CD;C;I;I;C;left;right;left;right;self;wind;wind;self;1;1;1;1;1;1;1;1;no;8
120;5,41917808219178;CB_25;DC;XC;DC;XC;I;C;C;I;left;right;left;right;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
122;6,52328767123288;CB_26;CX;CD;CX;CD;I;C;C;I;left;right;left;right;wind;wind;self;wind;1;1;1;1;1;0;1;1;no;7
124;4,70958904109589;CB_28;XC;DC;XC;DC;I;C;C;I;right;left;right;left;wind;wind;self;wind;1;1;1;1;1;0;1;1;no;7
125;7,10684931506849;CB_31;DC;XC;DC;XC;C;I;I;C;left;right;left;right;self;wind;wind;self;1;1;1;1;1;1;1;1;no;8
126;5,35342465753425;CB_32;CX;CD;CX;CD;C;I;I;C;left;right;left;right;self;wind;wind;self;1;1;1;1;1;1;1;1;no;8
127;4,29589041095890;CB_27;CD;CX;CD;CX;I;C;C;I;left;left;right;left;wind;self;self;wind;0;1;1;1;1;1;1;1;no;7
128;4,28219178082192;CB_26;CX;CD;CX;CD;I;C;C;I;left;right;left;right;wind;wind;self;wind;1;1;1;1;1;0;1;1;no;7
129;4,79452054794521;CB_23;DC;XC;DC;XC;C;I;I;C;left;right;left;right;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
130;7,58356164383562;CB_20;XC;DC;XC;DC;I;C;C;I;right;left;right;left;wind;wind;self;wind;1;1;1;1;1;0;1;1;no;7
131;5,31780821917808;CB_19;CD;CX;CD;CX;I;C;C;I;right;left;right;left;wind;wind;self;wind;1;1;1;1;1;0;1;1;no;7
132;5,90958904109589;CB_18;CX;CD;CX;CD;I;C;C;I;left;right;left;right;wind;wind;self;wind;1;1;1;1;1;0;1;1;no;7
133;4,79178082191781;CB_15;DC;XC;DC;XC;C;I;I;C;left;right;left;right;wind;wind;self;self;1;1;1;1;0;1;0;1;yes;6
134;4,98904109589041;CB_15;DC;XC;DC;XC;C;I;I;C;left;right;left;right;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
135;6,93972602739726;CB_05;CD;CX;CD;CX;C;I;I;C;right;left;right;left;self;wind;wind;self;1;1;1;1;1;1;1;1;no;8
137;7,07945205479452;CB_02;CX;CD;CX;CD;I;C;C;I;left;right;left;right;wind;wind;self;wind;1;1;1;1;1;0;1;1;no;7
138;4,84109589041096;CB_30;XC;DC;XC;DC;C;I;I;C;right;left;right;right;self;wind;wind;self;1;1;1;0;1;1;1;1;no;7
139;4,45753424657534;CB_12;XC;DC;XC;DC;I;C;C;I;right;right;left;left;wind;self;self;wind;1;0;0;1;1;1;1;1;yes;6
142;7,02185792349727;CB_30;XC;DC;XC;DC;C;I;I;C;right;left;right;left;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
143;5,12602739726027;CB_12;XC;DC;XC;DC;I;C;C;I;right;left;right;left;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
